[05:54:42] === bulk seed generation starting (target=60000, workers=4, batch=5) ===
[05:54:43] existing accepted seeds: 27324 | {'partial_knowledge': 6943, 'matter_file_grounded': 4127, 'adverse_authority_handling': 4350, 'multi_authority_synthesis': 2698, 'need_more_facts': 2415, 'overconfident_to_caveated': 2805, 'impermissible_request': 1990, 'no_good_answer': 1996}
[05:54:43] prepared 6537 batches across categories
[05:55:09]   +5 [partial_knowledge] ; total=5 ; rate=12/min ; 1/6537 batches
[05:55:21]   +5 [partial_knowledge] ; total=10 ; rate=16/min ; 2/6537 batches
[05:55:33]   +5 [partial_knowledge] ; total=15 ; rate=18/min ; 3/6537 batches
[05:55:34]   +5 [partial_knowledge] ; total=20 ; rate=23/min ; 4/6537 batches
[05:55:55]   +5 [partial_knowledge] ; total=25 ; rate=21/min ; 5/6537 batches
[05:56:04]   +5 [partial_knowledge] ; total=30 ; rate=22/min ; 6/6537 batches
[05:56:15]   +5 [partial_knowledge] ; total=35 ; rate=23/min ; 7/6537 batches
[05:56:19]   +5 [partial_knowledge] ; total=40 ; rate=25/min ; 8/6537 batches
[05:56:21]   +5 [partial_knowledge] ; total=45 ; rate=28/min ; 9/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=50 ; rate=28/min ; 10/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=55 ; rate=31/min ; 11/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=60 ; rate=34/min ; 12/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=65 ; rate=37/min ; 13/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=70 ; rate=40/min ; 14/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=75 ; rate=42/min ; 15/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=80 ; rate=45/min ; 16/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=85 ; rate=48/min ; 17/6537 batches
[05:56:29]   +5 [partial_knowledge] ; total=90 ; rate=51/min ; 18/6537 batches
